iter	Passed	Remaining
466	722	824
467	723	822
468	724	819
469	725	817
470	726	815
471	727	813
472	728	811
473	728	808
474	729	806
475	730	804
476	731	802
477	733	800
478	734	798
479	735	796
480	735	793
481	736	791
482	737	789
483	739	787
484	740	785
485	740	783
486	741	781
487	742	778
488	743	776
489	744	774
490	745	773
491	746	770
492	747	768
493	749	767
494	750	765
495	751	763
496	753	762
497	754	760
498	755	758
499	756	756
500	757	754
501	758	752
502	759	749
503	759	747
504	760	745
505	762	744
506	763	742
507	764	740
508	765	738
509	766	736
510	767	734
511	768	732
512	769	730
513	770	728
514	771	726
515	771	724
516	773	722
517	774	720
518	775	718
519	776	716
520	777	714
521	778	712
522	779	710
523	780	708
524	781	707
525	782	705
526	783	702
527	783	700
528	784	698
529	786	697
530	787	695
531	788	693
532	789	691
533	790	690
534	792	688
535	794	687
536	795	685
537	797	685
538	799	683
539	800	681
540	802	681
541	803	679
542	805	677
543	806	675
544	806	673
545	807	671
546	809	670
547	810	668
548	811	666
549	811	664
550	812	661
551	812	659
552	814	658
553	815	656
554	816	654
555	817	652
556	818	650
557	818	648
558	819	646
559	820	645
560	822	643
561	822	641
562	823	639
563	824	637
564	824	635
565	826	633
566	827	631
567	828	629
568	828	627
569	829	625
570	830	623
571	830	621
572	831	619
573	833	618
574	834	616
575	834	614
576	835	612
577	836	610
578	836	608
579	838	607
580	840	605
581	842	604
582	843	603
583	844	601
584	845	600
585	847	598
586	848	596
587	849	595
588	851	594
589	852	592
590	853	590
591	854	588
592	855	587
593	857	586
594	858	584
595	859	582
596	860	580
597	861	578
598	862	577
599	863	575
600	864	573
601	865	572
602	865	570
603	866	568
604	868	566
605	869	565
606	870	563
607	871	561
608	871	559
609	872	557
610	874	556
611	875	554
612	876	553
613	877	551
614	877	549
615	879	548
616	880	546
617	881	544
618	882	543
619	883	541
620	885	540
621	885	538
622	887	536
623	888	535
624	888	533
625	889	531
626	890	529
627	891	528
628	892	526
629	893	524
630	894	523
631	895	521
632	895	519
633	896	517
634	898	516
635	899	514
636	900	512
637	900	511
638	901	509
639	902	507
640	903	506
641	904	504
642	906	503
643	906	501
644	907	499
645	908	497
646	909	496
647	911	494
648	912	493
649	912	491
650	913	489
651	914	488
652	915	486
653	917	485
654	918	483
655	918	481
656	919	480
657	921	478
658	922	477
659	926	477
660	927	475
661	928	474
662	930	472
663	932	471
664	934	470
665	935	469
666	936	467
667	938	466
668	939	464
669	940	463
670	941	461
671	942	460
672	944	458
673	945	457
674	947	455
675	948	454
676	950	453
677	951	451
678	952	450
679	953	448
680	954	447
681	956	445
682	956	444
683	958	442
684	959	441
685	960	439
686	961	438
687	963	437
688	965	435
689	966	434
690	967	432
691	968	431
692	970	429
693	971	428
694	972	426
695	974	425
696	975	424
697	976	422
698	978	421
699	979	419
700	981	418
701	982	416
702	983	415
703	984	413
704	986	412
705	987	411
706	988	409
707	989	408
708	991	406
709	992	405
710	993	403
711	994	402
712	994	400
713	995	398
714	996	397
715	998	396
716	999	394
717	1000	392
718	1001	391
719	1003	390
720	1005	388
721	1006	387
722	1007	386
723	1009	384
724	1010	383
725	1012	382
726	1013	380
727	1014	379
728	1016	377
729	1017	376
730	1018	374
731	1019	373
732	1020	371
733	1021	370
734	1022	368
735	1023	367
736	1024	365
737	1026	364
738	1027	362
739	1028	361
740	1028	359
741	1029	357
742	1030	356
743	1032	355
744	1033	353
745	1034	352
746	1034	350
747	1035	348
748	1036	347
749	1037	345
750	1038	344
751	1039	342
752	1039	341
753	1040	339
754	1041	337
755	1042	336
756	1042	334
757	1043	333
758	1044	331
759	1045	330
760	1045	328
761	1046	326
762	1046	325
763	1047	323
764	1048	322
765	1049	320
766	1050	319
767	1051	317
768	1051	315
769	1052	314
770	1053	312
771	1054	311
772	1055	309
773	1055	308
774	1056	306
775	1057	305
776	1057	303
777	1058	302
778	1059	300
779	1060	299
780	1061	297
781	1062	296
782	1063	294
783	1063	293
784	1064	291
785	1064	289
786	1065	288
787	1066	286
788	1067	285
789	1068	283
790	1068	282
791	1069	280
792	1069	279
793	1070	277
794	1070	276
795	1071	274
796	1072	273
797	1073	271
798	1073	270
799	1074	268
800	1075	267
801	1075	265
802	1076	264
803	1077	262
804	1077	261
805	1078	259
806	1079	258
807	1080	256
808	1080	255
809	1081	253
810	1081	252
811	1082	250
812	1082	249
813	1083	247
814	1084	246
815	1085	244
816	1086	243
817	1086	241
818	1087	240
819	1088	238
820	1088	237
821	1089	235
822	1089	234
823	1090	232
824	1091	231
825	1092	230
826	1093	228
827	1094	227
828	1095	225
829	1096	224
830	1098	223
831	1098	221
832	1099	220
833	1100	219
834	1101	217
835	1101	216
836	1102	214
837	1103	213
838	1104	211
839	1105	210
840	1106	209
841	1107	207
842	1107	206
843	1108	204
844	1109	203
845	1110	202
846	1111	200
847	1111	199
848	1112	197
849	1112	196
850	1113	194
851	1114	193
852	1115	192
853	1115	190
854	1116	189
855	1117	187
856	1118	186
857	1118	185
858	1119	183
859	1119	182
860	1121	180
861	1122	179
862	1123	178
863	1123	176
864	1124	175
865	1125	174
866	1125	172
867	1126	171
868	1127	169
869	1127	168
870	1128	167
871	1129	165
872	1130	164
873	1130	163
874	1131	161
875	1131	160
876	1132	158
877	1133	157
878	1134	156
879	1135	154
880	1136	153
881	1136	152
882	1137	150
883	1138	149
884	1139	148
885	1140	146
886	1140	145
887	1141	143
888	1142	142
889	1142	141
890	1143	139
891	1144	138
892	1145	137
893	1145	135
894	1146	134
895	1147	133
896	1148	131
897	1148	130
898	1149	129
899	1150	127
900	1150	126
901	1151	125
902	1152	123
903	1153	122
904	1153	121
905	1154	119
906	1155	118
907	1155	117
908	1156	115
909	1157	114
910	1158	113
911	1158	111
912	1159	110
913	1160	109
914	1160	107
915	1161	106
916	1162	105
917	1162	103
918	1163	102
919	1164	101
920	1165	99
921	1166	98
